Emoji,Unicode Name,Description
💡,Light Bulb,creativity
🔬,Microscope,biology
🍰,Shortcake,strawberry cake
💻,Laptop,office
🧭,Compass,magnetic compass
🍦,Soft Serve,sugar
🚲,Bicycle,bike road
🎾,Tennis,tennis hobby
🔥,Fire,high temp
🔑,Key,building
❤️,Red Heart,the symbol of love
🤔,Thinking Face,curiouser and curiouser
🎾,Tennis,court
⌚,Watch,time device
🤔,Thinking Face,brain power
🙏,Folded Hands,a gesture of gratitude
🎾,Tennis,racket and court
💀,Skull,dead
😂,Face with Tears of Joy,that is the funniest thing ever
🧺,Basket,laundry basket
✈️,Airplane,soaring
🍔,Hamburger,hungry
🥳,Partying Face,joy
🤡,Clown Face,funny
🤡,Clown Face,someone acting like a fool
⚽,Soccer Ball,soccer sport
🧹,Broom,sweeping the room
🍎,Red Apple,healthy fruit snack
🌍,Globe Showing Europe-Africa,saving earth
🛏️,Bed,bed pillow
🛳️,Passenger Ship,maritime
🍔,Hamburger,tasty burger
📑,Bookmark Tabs,study tabs
😴,Sleeping Face,dreaming bed
🔔,Bell,ring
🧺,Basket,wicker basket
📱,Mobile Phone,phone app
🙏,Folded Hands,please do me a favor
🔔,Bell,hearing the chime
🥪,Sandwich,ham
🔔,Bell,notification
😴,Sleeping Face,sleeping
🍕,Pizza,italian
⌚,Watch,punctuality watch
👍,Thumbs Up,awesome
💔,Broken Heart,broken vibe
🧪,Test Tube,laboratory glass
💰,Money Bag,success
🥗,Green Salad,healthy
🍰,Shortcake,cake sweet
🗺️,World Map,explorer
🔨,Hammer,heavy hand tool
📏,Straight Ruler,ruler tool
🌧️,Cloud with Rain,rainy sky
✏️,Pencil,pencil wooden
🛏️,Bed,lying down
🚪,Door,closing
📏,Straight Ruler,measuring
📍,Round Pushpin,area
😎,Smiling Face with Sunglasses,relaxed mood
🚲,Bicycle,health bike
🪒,Razor,grooming
🧸,Teddy Bear,bear child
🚿,Shower,clean shower
🙏,Folded Hands,thank you lord
🍎,Red Apple,apple healthy
😊,Smiling Face with Smiling Eyes,joy
🍎,Red Apple,forbidden
🧹,Broom,floor broom
💻,Laptop,technology and internet
💻,Laptop,keyboard
🎸,Guitar,string
🔑,Key,unlocking
🔒,Locked,padlock lock
🎁,Wrapped Gift,gift present
🤣,Rolling on the Floor Laughing,rolling
📏,Straight Ruler,straight
🍺,Beer Mug,time
🔨,Hammer,home hammer
🛳️,Passenger Ship,sea
📱,Mobile Phone,calling and texting
🔥,Fire,pure fire
📚,Books,books research
🤔,Thinking Face,doubtful face
📈,Chart Increasing,stock chart
🚂,Locomotive,tracks train
📍,Round Pushpin,i am right here
🍎,Red Apple,story
🎁,Wrapped Gift,reward gift
🛋️,Couch and Lamp,decor
🌈,Rainbow,peace
🤔,Thinking Face,what if
😭,Loudly Crying Face,so much grief
✏️,Pencil,tip
📓,Notebook,office supply
🔌,Electric Plug,electricity
🔔,Bell,attention bell
🚂,Locomotive,tracks
🥪,Sandwich,prepared cold meal
✂️,Scissors,tailoring clothes
😍,Smiling Face with Heart-Eyes,so handsome
🎾,Tennis,playing a match
✨,Sparkles,a touch of magic
🥪,Sandwich,sandwich meal
🔒,Locked,locked private
🧭,Compass,travel
📓,Notebook,writing notes
🎁,Wrapped Gift,gift birthday
🚀,Rocket,high results
🍦,Soft Serve,sugar treat
🍔,Hamburger,burger
🛳️,Passenger Ship,boat sailing
☀️,Sun,hot
🔒,Locked,access lock
🌈,Rainbow,bright and happy
💊,Pill,pharmacy pill
🎁,Wrapped Gift,gift surprise
😴,Sleeping Face,bed face
🔦,Flashlight,camping
🎁,Wrapped Gift,celebratory package
🎾,Tennis,court ball
🚗,Automobile,commute car
💊,Pill,medical pill
🧪,Test Tube,chemistry experiment
🎸,Guitar,guitar
🧸,Teddy Bear,bear fur
🧺,Basket,carrying items
🖋️,Fountain Pen,ink writing
🎁,Wrapped Gift,gift box
🔔,Bell,shape
😊,Smiling Face with Smiling Eyes,soft smile
💻,Laptop,software laptop
🤡,Clown Face,total joke
🧼,Soap,slippery
🍺,Beer Mug,cheers beer
🎾,Tennis,net
☕,Hot Beverage,breakfast hot
🍕,Pizza,food for a party
📍,Round Pushpin,geographic point
💀,Skull,morbid funny
☕,Hot Beverage,drink coffee
🗺️,World Map,travel map
🔭,Telescope,exploration telescope
📓,Notebook,pages
☀️,Sun,warmth
📂,Open File Folder,file records
☕,Hot Beverage,steam rising up
🤣,Rolling on the Floor Laughing,so hilarious
🗺️,World Map,oceans
🔬,Microscope,science
📓,Notebook,notes
☀️,Sun,desert sun rays
🌈,Rainbow,hope sign
🐶,Dog Face,man's best friend
✈️,Airplane,air travel
😊,Smiling Face with Smiling Eyes,energy
🔑,Key,answer key
👍,Thumbs Up,good one
🏀,Basketball,orange
☕,Hot Beverage,breakfast
🎈,Balloon,round
💊,Pill,medicine capsule
🤡,Clown Face,scary circus clown
🧺,Basket,food
😎,Smiling Face with Sunglasses,sharp
💀,Skull,skeleton bones
📍,Round Pushpin,map
🚗,Automobile,transport on road
🌡️,Thermometer,fever and health
🚂,Locomotive,old steam train
🙄,Face with Rolling Eyes,boring talk
💡,Light Bulb,glowing
😍,Smiling Face with Heart-Eyes,pure adoration
⚽,Soccer Ball,sports equipment
❄️,Snowflake,frozen snow
🪒,Razor,smooth
🧬,DNA,double
🗺️,World Map,trip map
🌈,Rainbow,hope and pride
🎸,Guitar,band
😊,Smiling Face with Smiling Eyes,kindness
😊,Smiling Face with Smiling Eyes,joyful
😴,Sleeping Face,midnight slumber
🚗,Automobile,engine
✂️,Scissors,tailoring
🔑,Key,key lock
🎁,Wrapped Gift,holiday season giving
🍷,Wine Glass,elegant dinner party
🚲,Bicycle,exercise bike
📚,Books,learning and education
📡,Satellite Antenna,antenna waves
💡,Light Bulb,i have an idea
🕰️,Mantelpiece Clock,mechanical clock
🐶,Dog Face,animal
🔦,Flashlight,light flashlight
📂,Open File Folder,project documents
🙏,Folded Hands,grateful
💀,Skull,dying
👍,Thumbs Up,plan
🎸,Guitar,electric guitar solo
🛁,Bathtub,bathtub
🧼,Soap,hands soap
🔦,Flashlight,emergency flashlight
🔭,Telescope,looking at stars
✏️,Pencil,tool
🥳,Partying Face,having a great time
🏀,Basketball,scoring three points
🛳️,Passenger Ship,sailing on ocean
🏀,Basketball,fun
✈️,Airplane,international
🔔,Bell,sound
🍕,Pizza,triangle
🚿,Shower,falling water drops
🥗,Green Salad,clean eating lifestyle
🧪,Test Tube,test tube
🏠,House,rest
💻,Laptop,remote
🧺,Basket,basket picnic
🚪,Door,frame
🔬,Microscope,biology lab tool
💡,Light Bulb,glass
🛏️,Bed,sleep tight
🔑,Key,opening
💀,Skull,funny
📚,Books,books knowledge
🍷,Wine Glass,dining
🥳,Partying Face,fun times
🤔,Thinking Face,thinking face emoji
🌍,Globe Showing Europe-Africa,world earth
🍎,Red Apple,garden apple
🧼,Soap,cleaning soap
✨,Sparkles,magical glitters
❄️,Snowflake,falling
📍,Round Pushpin,found area
❤️,Red Heart,marriage and love
📚,Books,learning books
🍦,Soft Serve,beach
😎,Smiling Face with Sunglasses,shades
🧺,Basket,picnic
🚽,Toilet,toilet facility
🕰️,Mantelpiece Clock,vintage time
🚲,Bicycle,path bike
😴,Sleeping Face,dreaming
🧹,Broom,bristles
🎁,Wrapped Gift,gift
🔨,Hammer,hammer nail
💔,Broken Heart,end of us
💀,Skull,spooky vibes
📓,Notebook,notebook office
🛋️,Couch and Lamp,comfortable
🚽,Toilet,toilet bathroom
🎸,Guitar,guitar chords
🛋️,Couch and Lamp,comfortable sofa
📂,Open File Folder,data
🔬,Microscope,microscope research
📱,Mobile Phone,mobile app usage
🧭,Compass,needle compass
🏮,Red Paper Lantern,lamp
📸,Camera with Flash,shutter
🚀,Rocket,space travel
🏠,House,building house
💡,Light Bulb,smart thinking moment
🧸,Teddy Bear,teddy bear
🙄,Face with Rolling Eyes,sarcasm face
🖋️,Fountain Pen,nib pen
🧬,DNA,structure
❤️,Red Heart,deep connection
🚽,Toilet,room
📓,Notebook,journal notebook
🗺️,World Map,tool
🥗,Green Salad,food salad
🌧️,Cloud with Rain,wet cloud
😍,Smiling Face with Heart-Eyes,mesmerized by the beauty
🚀,Rocket,rocket launch
👍,Thumbs Up,correct
☕,Hot Beverage,relaxing with tea
🙄,Face with Rolling Eyes,sarcasm vibe
💻,Laptop,online business tasks
🚽,Toilet,facility
🛏️,Bed,soft bed sheets
🥗,Green Salad,raw
📏,Straight Ruler,cm
🙄,Face with Rolling Eyes,impatient person
😴,Sleeping Face,go to bed
🔒,Locked,protection lock
🐶,Dog Face,dog
🥳,Partying Face,party animal mode
🧸,Teddy Bear,cuddly teddy
🧸,Teddy Bear,plushie teddy
📚,Books,reading books
🌍,Globe Showing Europe-Africa,environment earth
🪒,Razor,razor sharp
🤣,Rolling on the Floor Laughing,funny
🎁,Wrapped Gift,birthday gift box
🎈,Balloon,red round shape
🍦,Soft Serve,kids
🛋️,Couch and Lamp,relaxing at home
🎁,Wrapped Gift,ribbon
📚,Books,stack of reading
📂,Open File Folder,digital
🧬,DNA,life
📂,Open File Folder,records
🍰,Shortcake,treat cake
🙏,Folded Hands,hoping
🏮,Red Paper Lantern,celebration lantern
✨,Sparkles,bright
📱,Mobile Phone,technology
✨,Sparkles,sparkles emoji
☀️,Sun,bright
📚,Books,library books
🔔,Bell,classic bell
💔,Broken Heart,sad lonely
🔒,Locked,login
🎈,Balloon,balloon red
🌍,Globe Showing Europe-Africa,international news
🪒,Razor,sharp edge
🔑,Key,key
✨,Sparkles,sparkly
🚀,Rocket,launch sky
😍,Smiling Face with Heart-Eyes,so dreamy
✏️,Pencil,tool pencil
🧭,Compass,compass navigation
🙄,Face with Rolling Eyes,boring
🌡️,Thermometer,cold
🧪,Test Tube,research tube
🥪,Sandwich,layered food item
📏,Straight Ruler,line
🚂,Locomotive,travel
🍦,Soft Serve,frozen
🍰,Shortcake,treat
🖋️,Fountain Pen,ink pen
🔑,Key,key success
🐱,Cat Face,independent pet animal
✏️,Pencil,sketching
💀,Skull,dying of laughter
✨,Sparkles,shiny and new
📱,Mobile Phone,device phone
🍺,Beer Mug,craft
🐶,Dog Face,pet
🍕,Pizza,pie
📱,Mobile Phone,phone modern
❄️,Snowflake,flake snowflake
🚽,Toilet,toilet plumbing
📈,Chart Increasing,scaling top
👍,Thumbs Up,sounds good
🔔,Bell,chime
🧹,Broom,sweep floor
🧸,Teddy Bear,comfort toy
⌛,Hourglass Done,time hourglass
🪒,Razor,shaving razor
🚀,Rocket,engine start
😂,Face with Tears of Joy,lmfao
😴,Sleeping Face,slumber
🥗,Green Salad,healthy salad
🍦,Soft Serve,white cream swirl
🚀,Rocket,start
🪒,Razor,sharp blade tool
💀,Skull,spooky
📑,Bookmark Tabs,organization
🧼,Soap,hygiene soap
📡,Satellite Antenna,dish antenna
⌛,Hourglass Done,counting
🧭,Compass,tool
🔨,Hammer,project
💰,Money Bag,financial
😍,Smiling Face with Heart-Eyes,looking at something beautiful
📓,Notebook,diary notebook
🚪,Door,house
🏠,House,neighborhood
📍,Round Pushpin,pushpin
🔔,Bell,shape bell
✏️,Pencil,drawing
📏,Straight Ruler,tool
✈️,Airplane,pilot and cabin
🔋,Battery,battery energy
🔭,Telescope,stars telescope
🎾,Tennis,volley tennis
📏,Straight Ruler,line ruler
🎸,Guitar,making a song
💡,Light Bulb,new invention plan
👍,Thumbs Up,fine
🔔,Bell,bell ring
🍺,Beer Mug,glass beer
🚲,Bicycle,human powered vehicle
🔌,Electric Plug,energy
😍,Smiling Face with Heart-Eyes,total babe
🚪,Door,wooden door frame
🕯️,Candle,candle light
🖼️,Framed Picture,picture painting
⚽,Soccer Ball,cup ball
📸,Camera with Flash,smile
🛳️,Passenger Ship,ship passenger
🚽,Toilet,toilet restroom
🪒,Razor,razor safety
⌛,Hourglass Done,timer
✂️,Scissors,office supplies
🚂,Locomotive,train tracks
💔,Broken Heart,pieces
😊,Smiling Face with Smiling Eyes,happiness
🧭,Compass,instrument
🛏️,Bed,soft
🌈,Rainbow,pride
🕯️,Candle,emergency light
📚,Books,education books
🍺,Beer Mug,ale beer
🏮,Red Paper Lantern,lantern lamp
🛁,Bathtub,cleaning
🤣,Rolling on the Floor Laughing,laughing until it hurts
🧼,Soap,bathroom
😂,Face with Tears of Joy,too funny
🛏️,Bed,soft bed
🚪,Door,opening or closing
🍕,Pizza,i am hungry for italian
📂,Open File Folder,holding data
🚪,Door,exit door
🔒,Locked,digital
💀,Skull,skeleton vibes
🛳️,Passenger Ship,vacation on water
💰,Money Bag,jackpot bag
🎈,Balloon,balloon shape
🎸,Guitar,guitar time
🌡️,Thermometer,medical
🍕,Pizza,pizza slice
🏮,Red Paper Lantern,paper lamp
🛳️,Passenger Ship,boat passenger
🍰,Shortcake,berries
✂️,Scissors,scissors paper
🔭,Telescope,distant object view
🔭,Telescope,science
🔨,Hammer,renovation project
💻,Laptop,office laptop
🍺,Beer Mug,pub
🧭,Compass,compass gear
🚀,Rocket,ship
🛳️,Passenger Ship,transport
💔,Broken Heart,shattered love and trust
💻,Laptop,screen
📸,Camera with Flash,camera flash
🔑,Key,entering the building
🥪,Sandwich,deli sandwich
🕯️,Candle,candle
💰,Money Bag,money success
💀,Skull,humorously dying
🌍,Globe Showing Europe-Africa,globe view
🔭,Telescope,astronomy telescope
😊,Smiling Face with Smiling Eyes,cheerful
🧸,Teddy Bear,teddy brown
🔒,Locked,login lock
⌚,Watch,seconds
⌚,Watch,wrist
🚗,Automobile,vehicle car
🔋,Battery,green energy bar
🗺️,World Map,navigation tool
🥳,Partying Face,special day
🧹,Broom,broom floor
💔,Broken Heart,loss vibes
🛳️,Passenger Ship,luxury cruise ship
🔨,Hammer,construction
⌚,Watch,formal wrist wear
🏀,Basketball,jersey ball
🍔,Hamburger,fries burger
🧹,Broom,dust broom
⌚,Watch,device
🧬,DNA,molecule structure
🏠,House,building for family
😭,Loudly Crying Face,emotional wreck right now
🍺,Beer Mug,alcohol beer
🏮,Red Paper Lantern,red paper
🎈,Balloon,string balloon
⚽,Soccer Ball,world cup sport
☀️,Sun,light
🔌,Electric Plug,electrical outlet
❄️,Snowflake,skiing
🔌,Electric Plug,socket plug
🧪,Test Tube,glass
✈️,Airplane,air flight
🤣,Rolling on the Floor Laughing,losing it from laughter
🌧️,Cloud with Rain,pouring from clouds
📸,Camera with Flash,photography
🔔,Bell,bell chime
🛳️,Passenger Ship,ship sailing
🧭,Compass,magnetic
🍷,Wine Glass,wine relax
🌧️,Cloud with Rain,storm cloud
🚽,Toilet,toilet water
🎈,Balloon,party
🚀,Rocket,moon travel
⌛,Hourglass Done,hourglass
🤣,Rolling on the Floor Laughing,extreme joy
🍰,Shortcake,sweet
📱,Mobile Phone,electronic gadget
😭,Loudly Crying Face,so much misery
🗺️,World Map,paper map
🏠,House,architecture and roof
🔑,Key,secret
🛳️,Passenger Ship,ship cruise
📈,Chart Increasing,success vibes
🌍,Globe Showing Europe-Africa,nature earth
🔌,Electric Plug,wire
🎈,Balloon,party balloon
🚗,Automobile,steering the wheel
🥗,Green Salad,green salad
🤣,Rolling on the Floor Laughing,comedy gold
📑,Bookmark Tabs,library
💊,Pill,pill drug
🗺️,World Map,explorer's tool
🖋️,Fountain Pen,elegant pen
🗺️,World Map,geography
🎁,Wrapped Gift,gift offering
😴,Sleeping Face,drifting off to sleep
🧸,Teddy Bear,huggable toy
🧹,Broom,broom
🙄,Face with Rolling Eyes,eye roll emoji
📡,Satellite Antenna,signal transmission
🌈,Rainbow,luck
🪒,Razor,grooming razor
📸,Camera with Flash,light camera
🕯️,Candle,glowing
⚽,Soccer Ball,soccer match
🚽,Toilet,toilet seat
🪒,Razor,razor bathroom
📈,Chart Increasing,increasing chart
🔦,Flashlight,bright
🐶,Dog Face,dog animal
🔬,Microscope,research microscope
🎸,Guitar,stage
🎸,Guitar,stage guitar
💀,Skull,ghost vibes
🧬,DNA,ancestry
🛏️,Bed,night bed
🎸,Guitar,playing guitar
😎,Smiling Face with Sunglasses,sunglasses
📡,Satellite Antenna,dish antenna
🍺,Beer Mug,cold lager mug
🎸,Guitar,rehearsal
🧺,Basket,weave
😊,Smiling Face with Smiling Eyes,inner peace
🍔,Hamburger,meat patty
🧪,Test Tube,chemicals tube
🍔,Hamburger,bun with sesame seeds
🎈,Balloon,toy balloon
🛁,Bathtub,bath water
✏️,Pencil,writing
🏀,Basketball,bouncing
🛋️,Couch and Lamp,corner
🙄,Face with Rolling Eyes,here we go again
🤡,Clown Face,joke
🧼,Soap,soap hygiene
🚲,Bicycle,vehicle
📏,Straight Ruler,ruler school
🤣,Rolling on the Floor Laughing,giggles
🚀,Rocket,launch
🎸,Guitar,acoustic guitar
🍷,Wine Glass,glass wine
📸,Camera with Flash,flash
🚿,Shower,drops
⌚,Watch,watch
🏮,Red Paper Lantern,cultural lantern
☀️,Sun,outdoor
🤣,Rolling on the Floor Laughing,extreme humor
🤡,Clown Face,circus performer
🙄,Face with Rolling Eyes,dismissive facial expression
🔭,Telescope,science of stars
🧹,Broom,cleaning broom
🐱,Cat Face,feline cat
💊,Pill,chemical medicine
🍰,Shortcake,fluffy baked cake
✂️,Scissors,hobby
🏠,House,home
🛏️,Bed,bed sleep
❄️,Snowflake,white
🏮,Red Paper Lantern,symbol
🌈,Rainbow,hope
🍔,Hamburger,dinner to go
😊,Smiling Face with Smiling Eyes,pleasant
🧼,Soap,bubbles
🚀,Rocket,engine
🚿,Shower,shower bath
📚,Books,books student
❤️,Red Heart,dating life
🧺,Basket,basket laundry
📑,Bookmark Tabs,sticky
🔭,Telescope,planet
🚪,Door,entering the room
🛳️,Passenger Ship,sailing
🍺,Beer Mug,bar and pub
🧹,Broom,cleaning
🎈,Balloon,string
🧬,DNA,genetic dna
🥳,Partying Face,time
🎾,Tennis,grand slam game
🚪,Door,opening
🌧️,Cloud with Rain,rainy day
💰,Money Bag,bag
🎈,Balloon,child balloon
🖋️,Fountain Pen,professional signature
🏠,House,cozy house
😍,Smiling Face with Heart-Eyes,so sweet
🚲,Bicycle,pedaling on road
📚,Books,hardback
🙏,Folded Hands,please help
📍,Round Pushpin,specific point
🤡,Clown Face,foolish vibes
🚽,Toilet,item
🔭,Telescope,telescope lens
✏️,Pencil,yellow wood
📚,Books,literature
🏀,Basketball,day
🔑,Key,key answer
🔭,Telescope,lens and tripod
🐱,Cat Face,cat lover vibes
📡,Satellite Antenna,space
🔌,Electric Plug,turning it on
📍,Round Pushpin,tracking
🚂,Locomotive,transport history
📓,Notebook,office
🎁,Wrapped Gift,season
💔,Broken Heart,end of love
🤣,Rolling on the Floor Laughing,rofl emoji
😎,Smiling Face with Sunglasses,dark glasses
🙏,Folded Hands,begging
🎾,Tennis,tennis game
📏,Straight Ruler,measurement ruler
🍔,Hamburger,bun
🔑,Key,lock key
🚪,Door,open door
🕯️,Candle,wax candle
🛏️,Bed,bedroom item
💊,Pill,advice pill
🚿,Shower,shower bathroom
🌧️,Cloud with Rain,rain cloud
🔦,Flashlight,night flashlight
🙏,Folded Hands,respectful
🧼,Soap,soap
❄️,Snowflake,unique
📈,Chart Increasing,market chart
📍,Round Pushpin,point
⌛,Hourglass Done,ancient timer
😎,Smiling Face with Sunglasses,ice cool
🧺,Basket,basket wicker
🔬,Microscope,study microscope
🤔,Thinking Face,hmm not quite sure
🍦,Soft Serve,cold vanilla dessert
👍,Thumbs Up,feedback
🌡️,Thermometer,cold or hot
💀,Skull,bones
🕯️,Candle,lamp
🔑,Key,metal key
🎾,Tennis,tennis serve
☀️,Sun,daylight sun
🎈,Balloon,red balloon
😊,Smiling Face with Smiling Eyes,happy heart
⚽,Soccer Ball,black
😴,Sleeping Face,snoring while resting
🥳,Partying Face,animal
😍,Smiling Face with Heart-Eyes,puppy love
💊,Pill,health wellness
🌍,Globe Showing Europe-Africa,space globe
🔔,Bell,bell music
🔒,Locked,locked secure
🎸,Guitar,rock music
🪒,Razor,hair
🚽,Toilet,bathroom fixture
😊,Smiling Face with Smiling Eyes,warmth
🎾,Tennis,tennis
🚗,Automobile,road car
🔋,Battery,life
🚂,Locomotive,historical
🕰️,Mantelpiece Clock,old fashioned
✨,Sparkles,twinkling
📓,Notebook,supply notebook
🚪,Door,passage
❄️,Snowflake,cold winter weather
💻,Laptop,business laptop
😊,Smiling Face with Smiling Eyes,kind
😭,Loudly Crying Face,tears everywhere
😍,Smiling Face with Heart-Eyes,heart eyes for you
🏮,Red Paper Lantern,traditional lamp
🚗,Automobile,road
🎸,Guitar,electric
✏️,Pencil,school
📑,Bookmark Tabs,helper
🥪,Sandwich,cold
🔥,Fire,intense heat
🙏,Folded Hands,showing high respect
📍,Round Pushpin,tracking spot
🎁,Wrapped Gift,wrapped box
🐶,Dog Face,face
🖼️,Framed Picture,visual art
🥪,Sandwich,sandwich
🥗,Green Salad,food
🔌,Electric Plug,powering the machine
✂️,Scissors,office scissors
☀️,Sun,weather
☀️,Sun,summer sun
🌈,Rainbow,colorful
📚,Books,knowledge source
❄️,Snowflake,falling white snow
🔦,Flashlight,night light
👍,Thumbs Up,yes sir
🚽,Toilet,toilet bowl
🍕,Pizza,italian pizza
📸,Camera with Flash,moment capture
🤔,Thinking Face,mind at work
🚪,Door,barrier or gate
📈,Chart Increasing,huge progress
📏,Straight Ruler,length
🍎,Red Apple,teacher's pet gift
❤️,Red Heart,so much passion
🚲,Bicycle,bike path
🏠,House,property house
🧹,Broom,tool
😭,Loudly Crying Face,crying for you
🍰,Shortcake,cake bakery
❄️,Snowflake,winter snow
⚽,Soccer Ball,soccer ball
✂️,Scissors,metal
🖼️,Framed Picture,decorative frame
💔,Broken Heart,heartbroken
🔒,Locked,login required
🍺,Beer Mug,friends
🚲,Bicycle,gears
📱,Mobile Phone,modern
😂,Face with Tears of Joy,uncontrollable laughing fit
👍,Thumbs Up,agree
🎸,Guitar,concert on stage
🛁,Bathtub,porcelain tub
📍,Round Pushpin,fixed location mark
🚽,Toilet,porcelain seat
🚲,Bicycle,eco friendly travel
🎈,Balloon,shape balloon
⚽,Soccer Ball,exercise
🔒,Locked,closed padlock
🙏,Folded Hands,spiritual connection
🛁,Bathtub,clean bath
🐱,Cat Face,kitty kitten
🔦,Flashlight,bright light
🥗,Green Salad,vegan
🙏,Folded Hands,gratitude vibes
✂️,Scissors,pair of shears
🧼,Soap,slippery and wet
😍,Smiling Face with Heart-Eyes,crushing on this look
🔦,Flashlight,search tool
🧹,Broom,wood broom
💡,Light Bulb,smart bulb
🚀,Rocket,rocket
🥳,Partying Face,festive time
🍔,Hamburger,meal
🍷,Wine Glass,party
🧭,Compass,compass travel
❄️,Snowflake,chilly
😂,Face with Tears of Joy,i am howling
🤡,Clown Face,clown vibes
😎,Smiling Face with Sunglasses,stylish vibes
😴,Sleeping Face,feeling very sleepy
💔,Broken Heart,end of road
🧺,Basket,organizing home
❤️,Red Heart,i love this so much
🖋️,Fountain Pen,signature
🍔,Hamburger,cravings burger
🧹,Broom,broom wood
🚀,Rocket,launch project
🪒,Razor,sharp razor
😂,Face with Tears of Joy,im weak
🎸,Guitar,rock
🥗,Green Salad,diet salad
🛏️,Bed,mattress bed
📸,Camera with Flash,work
🏠,House,indoor living space
🍎,Red Apple,apple a day
😎,Smiling Face with Sunglasses,chill
⌛,Hourglass Done,sand hourglass
🕰️,Mantelpiece Clock,hour
🥪,Sandwich,ham sandwich
📓,Notebook,student
🚪,Door,passage way
🪒,Razor,shop
💻,Laptop,working laptop
📡,Satellite Antenna,tv
🌍,Globe Showing Europe-Africa,maps
🍷,Wine Glass,fine dining spirit
🍺,Beer Mug,taste beer
📱,Mobile Phone,pocket phone
🚲,Bicycle,riding bike
🎾,Tennis,racket
🚀,Rocket,moon
🧬,DNA,biological
😂,Face with Tears of Joy,tears streaming
🧼,Soap,scented
🔌,Electric Plug,charging plug
✂️,Scissors,sewing
🚲,Bicycle,bike ride
💀,Skull,i am dead
🛳️,Passenger Ship,vacation
🌧️,Cloud with Rain,pouring rain
😭,Loudly Crying Face,tears of pain
⌛,Hourglass Done,period
👍,Thumbs Up,thumbs up
😍,Smiling Face with Heart-Eyes,crush alert
🧪,Test Tube,experiment
🥳,Partying Face,great time
📂,Open File Folder,open
🚗,Automobile,car commute
📸,Camera with Flash,flash light
🧭,Compass,directional
🧪,Test Tube,medical tube
🔋,Battery,rechargeable
🖼️,Framed Picture,museum
✈️,Airplane,airplane flight
🤣,Rolling on the Floor Laughing,can't stop the giggles
🐱,Cat Face,lover
🔑,Key,access
🧬,DNA,hereditary traits
🏠,House,safe
🍦,Soft Serve,summer treat
🖼️,Framed Picture,museum piece
📂,Open File Folder,organizing
🤔,Thinking Face,let me think deeply
🍕,Pizza,junk
🖼️,Framed Picture,art wall
🚽,Toilet,seat
😭,Loudly Crying Face,lonely heart
💀,Skull,skeleton head
🏠,House,living
🎁,Wrapped Gift,ribbon gift
🥗,Green Salad,salad bowl
🪒,Razor,blade razor
🔨,Hammer,hammer head
😴,Sleeping Face,exhausted out
🤔,Thinking Face,puzzling over this
🚪,Door,indoor entrance
🔌,Electric Plug,power plug
📈,Chart Increasing,trend chart
🍔,Hamburger,lunch time cravings
😭,Loudly Crying Face,tears streaming down face
🚿,Shower,bath shower
🔦,Flashlight,torch
⌚,Watch,watch accessory
📸,Camera with Flash,photo camera
✂️,Scissors,cutting paper
📓,Notebook,notebook blank
⌚,Watch,minutes watch
🔋,Battery,power battery
🖼️,Framed Picture,frame
📡,Satellite Antenna,link
🍔,Hamburger,hungry for meat
✂️,Scissors,sewing and craft
🔒,Locked,secure
🌡️,Thermometer,fever thermometer
🖼️,Framed Picture,visual
😭,Loudly Crying Face,feeling lost
🖼️,Framed Picture,wall decoration
🚪,Door,door room
☀️,Sun,hot sun
🍕,Pizza,pizza pie
🛏️,Bed,bed
🚪,Door,door sign
🔨,Hammer,hammer
🍦,Soft Serve,beach snack
🥳,Partying Face,horn
🖋️,Fountain Pen,professional signature
🔋,Battery,electrical
🔭,Telescope,stars
🚂,Locomotive,railway
🚀,Rocket,engine power
😎,Smiling Face with Sunglasses,boss energy only
😎,Smiling Face with Sunglasses,sunny day
⚽,Soccer Ball,sport
🧼,Soap,killer
❄️,Snowflake,crystal snowflake
😊,Smiling Face with Smiling Eyes,sweet smile
🙄,Face with Rolling Eyes,are you kidding
👍,Thumbs Up,approved
🔦,Flashlight,emergency light
🌡️,Thermometer,glass
🚿,Shower,shower wash
☕,Hot Beverage,mug
🎁,Wrapped Gift,gift gesture
❤️,Red Heart,my sweetheart
🎸,Guitar,string guitar
🍔,Hamburger,american food
✨,Sparkles,brightness
🧭,Compass,compass
🍦,Soft Serve,vanilla
👍,Thumbs Up,i agree with you
🙄,Face with Rolling Eyes,here we go
🚿,Shower,shower stream
💡,Light Bulb,shining light source
😍,Smiling Face with Heart-Eyes,obsession and deep love
😂,Face with Tears of Joy,joke was a ten
🖼️,Framed Picture,item
📏,Straight Ruler,inches and cm
🌍,Globe Showing Europe-Africa,international
🛳️,Passenger Ship,boat ocean
📸,Camera with Flash,bright camera
🙄,Face with Rolling Eyes,totally unimpressed
🏠,House,asset
🙏,Folded Hands,namaste greeting
🔥,Fire,heat is on
🐱,Cat Face,kitten whiskers
💡,Light Bulb,brilliant mental spark
🚗,Automobile,car engine
🪒,Razor,cutting hair
🔔,Bell,alarm bell
😎,Smiling Face with Sunglasses,cool face
🤣,Rolling on the Floor Laughing,laughing like crazy
🧬,DNA,helix
📡,Satellite Antenna,tower
✈️,Airplane,air
🧺,Basket,carrying
🔭,Telescope,telescope planet
🌡️,Thermometer,thermometer heat
📡,Satellite Antenna,technology
⚽,Soccer Ball,soccer world
🍷,Wine Glass,wine liquid
🏮,Red Paper Lantern,holiday lantern
🍷,Wine Glass,wine drink
